x,y,z
150.508333333333,-27.0083333333333,323
150.525,-27.0083333333333,332
150.541666666667,-27.0083333333333,331
150.558333333333,-27.0083333333333,319
150.575,-27.0083333333333,318
150.591666666667,-27.0083333333333,320
150.608333333333,-27.0083333333333,320
150.625,-27.0083333333333,323
150.641666666667,-27.0083333333333,324
150.658333333333,-27.0083333333333,330
150.675,-27.0083333333333,335
150.691666666667,-27.0083333333333,339
150.708333333333,-27.0083333333333,346
150.725,-27.0083333333333,348
150.741666666667,-27.0083333333333,343
150.758333333333,-27.0083333333333,338
150.775,-27.0083333333333,358
150.791666666667,-27.0083333333333,356
150.808333333333,-27.0083333333333,364
150.825,-27.0083333333333,358
150.841666666667,-27.0083333333333,340
150.858333333333,-27.0083333333333,328
150.875,-27.0083333333333,327
150.891666666667,-27.0083333333333,331
150.908333333333,-27.0083333333333,327
150.925,-27.0083333333333,324
150.941666666667,-27.0083333333333,324
150.958333333333,-27.0083333333333,321
150.975,-27.0083333333333,322
150.991666666667,-27.0083333333333,322
151.008333333333,-27.0083333333333,322
151.025,-27.0083333333333,324
151.041666666667,-27.0083333333333,327
151.058333333333,-27.0083333333333,329
151.075,-27.0083333333333,331
151.091666666667,-27.0083333333333,333
151.108333333333,-27.0083333333333,335
151.125,-27.0083333333333,337
151.141666666667,-27.0083333333333,339
151.158333333333,-27.0083333333333,342
151.175,-27.0083333333333,343
151.191666666667,-27.0083333333333,346
151.208333333333,-27.0083333333333,351
151.225,-27.0083333333333,356
151.241666666667,-27.0083333333333,360
151.258333333333,-27.0083333333333,364
151.275,-27.0083333333333,367
151.291666666667,-27.0083333333333,372
151.308333333333,-27.0083333333333,395
151.325,-27.0083333333333,424
151.341666666667,-27.0083333333333,433
151.358333333333,-27.0083333333333,440
151.375,-27.0083333333333,438
151.391666666667,-27.0083333333333,420
151.408333333333,-27.0083333333333,455
151.425,-27.0083333333333,436
151.441666666667,-27.0083333333333,447
151.458333333333,-27.0083333333333,460
151.475,-27.0083333333333,438
151.491666666667,-27.0083333333333,437
151.508333333333,-27.0083333333333,453
151.525,-27.0083333333333,483
151.541666666667,-27.0083333333333,519
151.558333333333,-27.0083333333333,539
151.575,-27.0083333333333,550
151.591666666667,-27.0083333333333,493
151.608333333333,-27.0083333333333,482
151.625,-27.0083333333333,515
151.641666666667,-27.0083333333333,582
151.658333333333,-27.0083333333333,637
151.675,-27.0083333333333,587
151.691666666667,-27.0083333333333,543
151.708333333333,-27.0083333333333,564
151.725,-27.0083333333333,613
151.741666666667,-27.0083333333333,608
151.758333333333,-27.0083333333333,565
151.775,-27.0083333333333,533
151.791666666667,-27.0083333333333,487
151.808333333333,-27.0083333333333,480
151.825,-27.0083333333333,502
151.841666666667,-27.0083333333333,491
151.858333333333,-27.0083333333333,486
151.875,-27.0083333333333,475
151.891666666667,-27.0083333333333,496
151.908333333333,-27.0083333333333,524
151.925,-27.0083333333333,493
151.941666666667,-27.0083333333333,561
151.958333333333,-27.0083333333333,521
151.975,-27.0083333333333,512
151.991666666667,-27.0083333333333,460
152.008333333333,-27.0083333333333,450
152.025,-27.0083333333333,389
152.041666666667,-27.0083333333333,360
152.058333333333,-27.0083333333333,364
152.075,-27.0083333333333,351
152.091666666667,-27.0083333333333,421
152.108333333333,-27.0083333333333,421
152.125,-27.0083333333333,407
152.141666666667,-27.0083333333333,384
152.158333333333,-27.0083333333333,353
152.175,-27.0083333333333,354
152.191666666667,-27.0083333333333,353
152.208333333333,-27.0083333333333,291
152.225,-27.0083333333333,318
152.241666666667,-27.0083333333333,234
152.258333333333,-27.0083333333333,211
152.275,-27.0083333333333,170
152.291666666667,-27.0083333333333,253
152.308333333333,-27.0083333333333,154
152.325,-27.0083333333333,129
152.341666666667,-27.0083333333333,173
152.358333333333,-27.0083333333333,124
152.375,-27.0083333333333,111
152.391666666667,-27.0083333333333,128
152.408333333333,-27.0083333333333,223
152.425,-27.0083333333333,158
152.441666666667,-27.0083333333333,200
152.458333333333,-27.0083333333333,194
152.475,-27.0083333333333,251
152.491666666667,-27.0083333333333,339
152.508333333333,-27.0083333333333,234
152.525,-27.0083333333333,171
152.541666666667,-27.0083333333333,118
152.558333333333,-27.0083333333333,101
152.575,-27.0083333333333,102
152.591666666667,-27.0083333333333,126
152.608333333333,-27.0083333333333,144
152.625,-27.0083333333333,161
152.641666666667,-27.0083333333333,270
152.658333333333,-27.0083333333333,478
152.675,-27.0083333333333,393
152.691666666667,-27.0083333333333,249
152.708333333333,-27.0083333333333,171
152.725,-27.0083333333333,180
152.741666666667,-27.0083333333333,203
152.758333333333,-27.0083333333333,196
152.775,-27.0083333333333,170
152.791666666667,-27.0083333333333,180
152.808333333333,-27.0083333333333,154
152.825,-27.0083333333333,76
152.841666666667,-27.0083333333333,57
152.858333333333,-27.0083333333333,49
152.875,-27.0083333333333,45
152.891666666667,-27.0083333333333,52
152.908333333333,-27.0083333333333,39
152.925,-27.0083333333333,36
152.941666666667,-27.0083333333333,30
152.958333333333,-27.0083333333333,25
152.975,-27.0083333333333,25
152.991666666667,-27.0083333333333,20
153.008333333333,-27.0083333333333,18
153.025,-27.0083333333333,11
153.041666666667,-27.0083333333333,7
153.058333333333,-27.0083333333333,6
153.075,-27.0083333333333,2
153.091666666667,-27.0083333333333,1
153.108333333333,-27.0083333333333,9
153.125,-27.0083333333333,11
153.141666666667,-27.0083333333333,10
153.158333333333,-27.0083333333333,6
153.175,-27.0083333333333,-3
153.191666666667,-27.0083333333333,-8
153.208333333333,-27.0083333333333,-13
153.225,-27.0083333333333,-19
153.241666666667,-27.0083333333333,-23
153.258333333333,-27.0083333333333,-26
153.275,-27.0083333333333,-28
153.291666666667,-27.0083333333333,-32
153.308333333333,-27.0083333333333,-31
153.325,-27.0083333333333,-34
153.341666666667,-27.0083333333333,-33
153.358333333333,-27.0083333333333,-34
153.375,-27.0083333333333,-32
153.391666666667,-27.0083333333333,-28
153.408333333333,-27.0083333333333,-22
153.425,-27.0083333333333,-15
153.441666666667,-27.0083333333333,-9
153.458333333333,-27.0083333333333,-18
153.475,-27.0083333333333,-43
153.491666666667,-27.0083333333333,-60
153.508333333333,-27.0083333333333,-79
153.525,-27.0083333333333,-93
153.541666666667,-27.0083333333333,-106
153.558333333333,-27.0083333333333,-113
153.575,-27.0083333333333,-122
153.591666666667,-27.0083333333333,-136
153.608333333333,-27.0083333333333,-151
153.625,-27.0083333333333,-162
153.641666666667,-27.0083333333333,-176
153.658333333333,-27.0083333333333,-191
153.675,-27.0083333333333,-209
153.691666666667,-27.0083333333333,-218
153.708333333333,-27.0083333333333,-225
153.725,-27.0083333333333,-232
153.741666666667,-27.0083333333333,-236
153.758333333333,-27.0083333333333,-235
153.775,-27.0083333333333,-260
153.791666666667,-27.0083333333333,-348
153.808333333333,-27.0083333333333,-505
153.825,-27.0083333333333,-757
153.841666666667,-27.0083333333333,-1082
153.858333333333,-27.0083333333333,-1423
153.875,-27.0083333333333,-1767
153.891666666667,-27.0083333333333,-1920
153.908333333333,-27.0083333333333,-2053
153.925,-27.0083333333333,-2201
153.941666666667,-27.0083333333333,-2362
153.958333333333,-27.0083333333333,-2523
153.975,-27.0083333333333,-2695
153.991666666667,-27.0083333333333,-2862
154.008333333333,-27.0083333333333,-3046
154.025,-27.0083333333333,-3238
154.041666666667,-27.0083333333333,-3456
154.058333333333,-27.0083333333333,-3646
154.075,-27.0083333333333,-3837
154.091666666667,-27.0083333333333,-3903
154.108333333333,-27.0083333333333,-3961
154.125,-27.0083333333333,-4019
154.141666666667,-27.0083333333333,-4083
154.158333333333,-27.0083333333333,-4147
154.175,-27.0083333333333,-4210
154.191666666667,-27.0083333333333,-4275
154.208333333333,-27.0083333333333,-4338
154.225,-27.0083333333333,-4402
154.241666666667,-27.0083333333333,-4461
154.258333333333,-27.0083333333333,-4518
154.275,-27.0083333333333,-4562
154.291666666667,-27.0083333333333,-4590
154.308333333333,-27.0083333333333,-4603
154.325,-27.0083333333333,-4604
154.341666666667,-27.0083333333333,-4598
154.358333333333,-27.0083333333333,-4592
154.375,-27.0083333333333,-4588
154.391666666667,-27.0083333333333,-4591
154.408333333333,-27.0083333333333,-4597
154.425,-27.0083333333333,-4605
154.441666666667,-27.0083333333333,-4610
154.458333333333,-27.0083333333333,-4614
154.475,-27.0083333333333,-4614
154.491666666667,-27.0083333333333,-4613
154.508333333333,-27.0083333333333,-4613
154.525,-27.0083333333333,-4619
154.541666666667,-27.0083333333333,-4629
154.558333333333,-27.0083333333333,-4646
154.575,-27.0083333333333,-4667
154.591666666667,-27.0083333333333,-4691
154.608333333333,-27.0083333333333,-4714
154.625,-27.0083333333333,-4735
154.641666666667,-27.0083333333333,-4749
154.658333333333,-27.0083333333333,-4758
154.675,-27.0083333333333,-4766
154.691666666667,-27.0083333333333,-4779
154.708333333333,-27.0083333333333,-4799
154.725,-27.0083333333333,-4829
154.741666666667,-27.0083333333333,-4863
154.758333333333,-27.0083333333333,-4889
154.775,-27.0083333333333,-4913
154.791666666667,-27.0083333333333,-4934
154.808333333333,-27.0083333333333,-4960
154.825,-27.0083333333333,-4993
154.841666666667,-27.0083333333333,-5036
154.858333333333,-27.0083333333333,-5086
154.875,-27.0083333333333,-5134
154.891666666667,-27.0083333333333,-5165
154.908333333333,-27.0083333333333,-5172
154.925,-27.0083333333333,-5132
154.941666666667,-27.0083333333333,-5060
154.958333333333,-27.0083333333333,-4943
154.975,-27.0083333333333,-4784
154.991666666667,-27.0083333333333,-4495
155.008333333333,-27.0083333333333,-4191
155.025,-27.0083333333333,-3874
155.041666666667,-27.0083333333333,-3609
155.058333333333,-27.0083333333333,-3428
155.075,-27.0083333333333,-3327
155.091666666667,-27.0083333333333,-3324
155.108333333333,-27.0083333333333,-3421
155.125,-27.0083333333333,-3759
155.141666666667,-27.0083333333333,-4108
155.158333333333,-27.0083333333333,-4425
155.175,-27.0083333333333,-4648
155.191666666667,-27.0083333333333,-4804
155.208333333333,-27.0083333333333,-4894
155.225,-27.0083333333333,-4948
155.241666666667,-27.0083333333333,-4976
155.258333333333,-27.0083333333333,-4998
155.275,-27.0083333333333,-5019
155.291666666667,-27.0083333333333,-5045
155.308333333333,-27.0083333333333,-5072
155.325,-27.0083333333333,-5094
155.341666666667,-27.0083333333333,-5106
155.358333333333,-27.0083333333333,-5099
155.375,-27.0083333333333,-5077
155.391666666667,-27.0083333333333,-5040
155.408333333333,-27.0083333333333,-4997
155.425,-27.0083333333333,-4952
155.441666666667,-27.0083333333333,-4911
155.458333333333,-27.0083333333333,-4878
155.475,-27.0083333333333,-4851
155.491666666667,-27.0083333333333,-4830
150.508333333333,-27.025,328
150.525,-27.025,326
150.541666666667,-27.025,322
150.558333333333,-27.025,322
150.575,-27.025,320
150.591666666667,-27.025,322
150.608333333333,-27.025,325
150.625,-27.025,335
150.641666666667,-27.025,329
150.658333333333,-27.025,329
150.675,-27.025,345
150.691666666667,-27.025,357
150.708333333333,-27.025,369
150.725,-27.025,360
150.741666666667,-27.025,340
150.758333333333,-27.025,333
150.775,-27.025,352
150.791666666667,-27.025,367
150.808333333333,-27.025,370
150.825,-27.025,356
150.841666666667,-27.025,350
150.858333333333,-27.025,333
150.875,-27.025,331
150.891666666667,-27.025,341
150.908333333333,-27.025,337
150.925,-27.025,330
150.941666666667,-27.025,330
150.958333333333,-27.025,322
150.975,-27.025,322
150.991666666667,-27.025,322
151.008333333333,-27.025,323
151.025,-27.025,323
151.041666666667,-27.025,324
151.058333333333,-27.025,328
151.075,-27.025,330
151.091666666667,-27.025,332
151.108333333333,-27.025,333
151.125,-27.025,334
151.141666666667,-27.025,335
151.158333333333,-27.025,337
151.175,-27.025,340
151.191666666667,-27.025,346
151.208333333333,-27.025,351
151.225,-27.025,355
151.241666666667,-27.025,360
151.258333333333,-27.025,362
151.275,-27.025,367
151.291666666667,-27.025,377
151.308333333333,-27.025,402
151.325,-27.025,432
151.341666666667,-27.025,415
151.358333333333,-27.025,401
151.375,-27.025,423
151.391666666667,-27.025,400
151.408333333333,-27.025,406
151.425,-27.025,420
151.441666666667,-27.025,415
151.458333333333,-27.025,412
151.475,-27.025,431
151.491666666667,-27.025,449
151.508333333333,-27.025,448
151.525,-27.025,488
151.541666666667,-27.025,488
151.558333333333,-27.025,482
151.575,-27.025,476
151.591666666667,-27.025,474
151.608333333333,-27.025,515
151.625,-27.025,540
151.641666666667,-27.025,577
151.658333333333,-27.025,599
151.675,-27.025,546
151.691666666667,-27.025,525
151.708333333333,-27.025,582
151.725,-27.025,617
151.741666666667,-27.025,610
151.758333333333,-27.025,533
151.775,-27.025,505
151.791666666667,-27.025,504
151.808333333333,-27.025,529
151.825,-27.025,527
151.841666666667,-27.025,527
151.858333333333,-27.025,486
151.875,-27.025,500
151.891666666667,-27.025,516
151.908333333333,-27.025,545
151.925,-27.025,574
151.941666666667,-27.025,574
151.958333333333,-27.025,486
151.975,-27.025,435
151.991666666667,-27.025,397
152.008333333333,-27.025,382
152.025,-27.025,376
152.041666666667,-27.025,353
152.058333333333,-27.025,352
152.075,-27.025,376
152.091666666667,-27.025,416
152.108333333333,-27.025,449
152.125,-27.025,429
152.141666666667,-27.025,402
152.158333333333,-27.025,385
152.175,-27.025,384
152.191666666667,-27.025,378
152.208333333333,-27.025,375
152.225,-27.025,312
152.241666666667,-27.025,185
152.258333333333,-27.025,170
152.275,-27.025,246
152.291666666667,-27.025,353
152.308333333333,-27.025,190
152.325,-27.025,129
152.341666666667,-27.025,169
152.358333333333,-27.025,109
152.375,-27.025,105
152.391666666667,-27.025,101
152.408333333333,-27.025,110
152.425,-27.025,132
152.441666666667,-27.025,135
152.458333333333,-27.025,131
152.475,-27.025,153
152.491666666667,-27.025,226
152.508333333333,-27.025,297
152.525,-27.025,213
152.541666666667,-27.025,113
152.558333333333,-27.025,100
152.575,-27.025,129
152.591666666667,-27.025,177
152.608333333333,-27.025,167
152.625,-27.025,197
152.641666666667,-27.025,250
152.658333333333,-27.025,313
152.675,-27.025,382
152.691666666667,-27.025,247
152.708333333333,-27.025,288
152.725,-27.025,349
152.741666666667,-27.025,237
152.758333333333,-27.025,316
152.775,-27.025,264
152.791666666667,-27.025,331
152.808333333333,-27.025,219
152.825,-27.025,101
152.841666666667,-27.025,55
152.858333333333,-27.025,51
152.875,-27.025,40
152.891666666667,-27.025,36
152.908333333333,-27.025,40
152.925,-27.025,34
152.941666666667,-27.025,28
152.958333333333,-27.025,30
152.975,-27.025,34
152.991666666667,-27.025,28
153.008333333333,-27.025,22
153.025,-27.025,12
153.041666666667,-27.025,8
153.058333333333,-27.025,5
153.075,-27.025,3
153.091666666667,-27.025,3
153.108333333333,-27.025,0
153.125,-27.025,7
153.141666666667,-27.025,9
153.158333333333,-27.025,7
153.175,-27.025,5
153.191666666667,-27.025,-3
153.208333333333,-27.025,-9
153.225,-27.025,-14
153.241666666667,-27.025,-19
153.258333333333,-27.025,-24
153.275,-27.025,-27
153.291666666667,-27.025,-29
153.308333333333,-27.025,-31
153.325,-27.025,-31
153.341666666667,-27.025,-29
153.358333333333,-27.025,-26
153.375,-27.025,-20
153.391666666667,-27.025,-8
153.408333333333,-27.025,-1
153.425,-27.025,13
153.441666666667,-27.025,23
153.458333333333,-27.025,20
153.475,-27.025,-33
153.491666666667,-27.025,-64
153.508333333333,-27.025,-82
153.525,-27.025,-93
153.541666666667,-27.025,-100
153.558333333333,-27.025,-105
153.575,-27.025,-113
153.591666666667,-27.025,-129
153.608333333333,-27.025,-144
153.625,-27.025,-152
153.641666666667,-27.025,-159
153.658333333333,-27.025,-176
153.675,-27.025,-196
153.691666666667,-27.025,-216
153.708333333333,-27.025,-230
153.725,-27.025,-238
153.741666666667,-27.025,-242
153.758333333333,-27.025,-245
153.775,-27.025,-262
153.791666666667,-27.025,-311
153.808333333333,-27.025,-410
153.825,-27.025,-592
153.841666666667,-27.025,-826
153.858333333333,-27.025,-1101
153.875,-27.025,-1361
153.891666666667,-27.025,-1575
153.908333333333,-27.025,-1764
153.925,-27.025,-1953
153.941666666667,-27.025,-2133
153.958333333333,-27.025,-2296
153.975,-27.025,-2454
153.991666666667,-27.025,-2631
154.008333333333,-27.025,-2815
154.025,-27.025,-2997
154.041666666667,-27.025,-3195
154.058333333333,-27.025,-3408
154.075,-27.025,-3602
154.091666666667,-27.025,-3731
154.108333333333,-27.025,-3824
154.125,-27.025,-3914
154.141666666667,-27.025,-4004
154.158333333333,-27.025,-4089
154.175,-27.025,-4168
154.191666666667,-27.025,-4238
154.208333333333,-27.025,-4300
154.225,-27.025,-4357
154.241666666667,-27.025,-4406
154.258333333333,-27.025,-4450
154.275,-27.025,-4485
154.291666666667,-27.025,-4512
154.308333333333,-27.025,-4529
154.325,-27.025,-4541
154.341666666667,-27.025,-4549
154.358333333333,-27.025,-4558
154.375,-27.025,-4568
154.391666666667,-27.025,-4580
154.408333333333,-27.025,-4591
154.425,-27.025,-4599
154.441666666667,-27.025,-4602
154.458333333333,-27.025,-4600
154.475,-27.025,-4594
154.491666666667,-27.025,-4586
154.508333333333,-27.025,-4581
154.525,-27.025,-4584
154.541666666667,-27.025,-4595
154.558333333333,-27.025,-4614
154.575,-27.025,-4641
154.591666666667,-27.025,-4671
154.608333333333,-27.025,-4701
154.625,-27.025,-4726
154.641666666667,-27.025,-4746
154.658333333333,-27.025,-4758
154.675,-27.025,-4767
154.691666666667,-27.025,-4777
154.708333333333,-27.025,-4796
154.725,-27.025,-4829
154.741666666667,-27.025,-4867
154.758333333333,-27.025,-4901
154.775,-27.025,-4931
154.791666666667,-27.025,-4957
154.808333333333,-27.025,-4985
154.825,-27.025,-5018
154.841666666667,-27.025,-5060
154.858333333333,-27.025,-5106
154.875,-27.025,-5151
154.891666666667,-27.025,-5182
154.908333333333,-27.025,-5189
154.925,-27.025,-5160
154.941666666667,-27.025,-5095
154.958333333333,-27.025,-4991
154.975,-27.025,-4842
154.991666666667,-27.025,-4636
155.008333333333,-27.025,-4409
155.025,-27.025,-4185
155.041666666667,-27.025,-3999
155.058333333333,-27.025,-3867
155.075,-27.025,-3799
155.091666666667,-27.025,-3797
155.108333333333,-27.025,-3892
155.125,-27.025,-4101
155.141666666667,-27.025,-4356
155.158333333333,-27.025,-4591
155.175,-27.025,-4776
155.191666666667,-27.025,-4899
155.208333333333,-27.025,-4971
155.225,-27.025,-5007
155.241666666667,-27.025,-5025
155.258333333333,-27.025,-5037
155.275,-27.025,-5052
155.291666666667,-27.025,-5071
155.308333333333,-27.025,-5092
155.325,-27.025,-5108
155.341666666667,-27.025,-5113
155.358333333333,-27.025,-5102
155.375,-27.025,-5075
155.391666666667,-27.025,-5036
155.408333333333,-27.025,-4990
155.425,-27.025,-4946
155.441666666667,-27.025,-4906
155.458333333333,-27.025,-4875
155.475,-27.025,-4851
155.491666666667,-27.025,-4832
150.508333333333,-27.0416666666667,339
150.525,-27.0416666666667,336
150.541666666667,-27.0416666666667,326
150.558333333333,-27.0416666666667,324
150.575,-27.0416666666667,322
150.591666666667,-27.0416666666667,323
150.608333333333,-27.0416666666667,327
150.625,-27.0416666666667,342
150.641666666667,-27.0416666666667,336
150.658333333333,-27.0416666666667,332
150.675,-27.0416666666667,341
150.691666666667,-27.0416666666667,355
150.708333333333,-27.0416666666667,376
150.725,-27.0416666666667,362
150.741666666667,-27.0416666666667,338
150.758333333333,-27.0416666666667,342
150.775,-27.0416666666667,346
150.791666666667,-27.0416666666667,375
150.808333333333,-27.0416666666667,381
150.825,-27.0416666666667,361
150.841666666667,-27.0416666666667,348
150.858333333333,-27.0416666666667,335
150.875,-27.0416666666667,342
150.891666666667,-27.0416666666667,349
150.908333333333,-27.0416666666667,344
150.925,-27.0416666666667,335
150.941666666667,-27.0416666666667,343
150.958333333333,-27.0416666666667,328
150.975,-27.0416666666667,323
150.991666666667,-27.0416666666667,323
151.008333333333,-27.0416666666667,324
151.025,-27.0416666666667,324
151.041666666667,-27.0416666666667,324
151.058333333333,-27.0416666666667,326
151.075,-27.0416666666667,327
151.091666666667,-27.0416666666667,329
151.108333333333,-27.0416666666667,331
151.125,-27.0416666666667,333
151.141666666667,-27.0416666666667,336
151.158333333333,-27.0416666666667,337
151.175,-27.0416666666667,340
151.191666666667,-27.0416666666667,344
151.208333333333,-27.0416666666667,350
151.225,-27.0416666666667,354
151.241666666667,-27.0416666666667,357
151.258333333333,-27.0416666666667,360
151.275,-27.0416666666667,371
151.291666666667,-27.0416666666667,397
151.308333333333,-27.0416666666667,403
151.325,-27.0416666666667,413
151.341666666667,-27.0416666666667,402
151.358333333333,-27.0416666666667,404
151.375,-27.0416666666667,411
151.391666666667,-27.0416666666667,391
151.408333333333,-27.0416666666667,395
151.425,-27.0416666666667,397
151.441666666667,-27.0416666666667,399
151.458333333333,-27.0416666666667,411
151.475,-27.0416666666667,427
151.491666666667,-27.0416666666667,419
151.508333333333,-27.0416666666667,427
151.525,-27.0416666666667,447
151.541666666667,-27.0416666666667,451
151.558333333333,-27.0416666666667,447
151.575,-27.0416666666667,469
151.591666666667,-27.0416666666667,522
151.608333333333,-27.0416666666667,583
151.625,-27.0416666666667,522
151.641666666667,-27.0416666666667,534
151.658333333333,-27.0416666666667,536
151.675,-27.0416666666667,499
151.691666666667,-27.0416666666667,532
151.708333333333,-27.0416666666667,578
151.725,-27.0416666666667,637
151.741666666667,-27.0416666666667,607
151.758333333333,-27.0416666666667,547
151.775,-27.0416666666667,557
151.791666666667,-27.0416666666667,578
151.808333333333,-27.0416666666667,537
151.825,-27.0416666666667,553
151.841666666667,-27.0416666666667,561
151.858333333333,-27.0416666666667,530
151.875,-27.0416666666667,556
151.891666666667,-27.0416666666667,592
151.908333333333,-27.0416666666667,631
151.925,-27.0416666666667,619
151.941666666667,-27.0416666666667,553
151.958333333333,-27.0416666666667,498
151.975,-27.0416666666667,441
151.991666666667,-27.0416666666667,394
152.008333333333,-27.0416666666667,361
152.025,-27.0416666666667,366
152.041666666667,-27.0416666666667,377
152.058333333333,-27.0416666666667,396
